source,target
2743,203186
2743,2731
2744,2430
2744,2216
2746,200794
2746,201188
2746,203953
2747,1628416
2747,203918
2748,1626224
2748,2772
2748,203109
2749,202349
2749,200771
2753,202709
2753,1628983
2753,1627785
2754,1628439
2754,201154
2754,201970
2755,101122
2755,203952
2755,101150
2756,204038
2756,2772
2756,1628379
2757,101109
2757,202714
2760,202332
2760,202334
2760,1627751
2768,203143
2804,1627814
2804,201978
2804,1629066
2853,202336
2853,1737
2863,200758
2863,1628411
2863,202723
101106,202332
101106,2760
101106,1626204
101107,1628371
101107,203488
101107,203120
101108,202322
101108,101114
101108,1884
101109,202714
101110,101187
101110,1627789
101111,201583
101111,203141
101111,101123
101112,202337
101112,203998
101112,201858
101113,1629140
101113,201274
101113,202396
101114,201952
101114,200768
101115,202702
101115,201581
101115,202685
101120,101214
101120,203138
101120,1627846
101121,201970
101121,2754
101121,202365
101122,203930
101122,202331
101123,101139
101123,203142
101123,201977
101124,201171
101124,201946
101126,201166
101126,203504
101126,1628988
101127,201954
101127,201938
101128,203493
101129,203085
101129,1626196
101129,1627782
101130,202730
101130,1627834
101131,203135
101131,201157
101132,202694
101132,1626162
101133,203481
101135,1628385
101135,202328
101138,201148
101138,201577
101138,201175
101139,203142
101139,203501
101141,1626168
101141,2246
101141,201957
101142,2570
101142,2555
101142,202327
101144,202343
101144,201167
101144,1628415
101145,201936
101145,1626144
101150,202738
101150,1626164
101150,203100
101153,200757
101153,200081
101153,201964
101154,1626143
101154,1628385
101155,1628407
101155,1628503
101155,203922
101161,1626172
101161,202344
101161,202379
101162,203382
101162,201582
101162,201971
101177,2205
101177,1563
101177,2408
101179,1628373
101181,203521
101181,201953
101181,1626145
101187,203463
101187,1627789
101189,203943
101189,2617
101189,2429
101198,201954
101198,201938
101211,202498
101211,203199
101211,201601
101214,1628503
101235,1628991
101235,1628369
101235,202699
101236,201187
101236,2555
101236,703
101249,1626166
101249,1626188
200081,201964
200081,203133
200081,1627827
200745,200752
200745,203498
200745,101235
200746,1626143
200746,201572
200746,2744
200748,201175
200748,201274
200748,979
200749,202687
200749,202962
200750,201155
200750,202330
200750,202710
200751,1627812
200751,201164
200752,1628367
200752,203953
200755,201569
200755,203501
200755,203095
200757,200782
200757,201964
200758,202723
200760,201590
200760,1627786
200762,1626171
200762,101141
200762,201957
200765,204025
200765,203901
200766,202388
200766,201953
200766,202714
200767,201189
200767,200777
200768,203915
200769,1628402
200769,2406
200769,202340
200770,1627832
200770,201985
200770,1626166
200771,202349
200771,1627755
200776,1627362
200776,202723
200777,202730
200777,2617
200779,203966
200779,203518
200779,1629130
200780,201623
200780,101131
200780,201157
200782,1628470
200782,201964
200783,1628421
200783,201168
200789,203917
200789,1629015
200789,201164
200794,201188
200794,201576
200796,201946
200796,101124
200796,406
200797,201623
200797,202363
200797,202350
200811,202684
200811,204028
200811,203105
200817,202724
200817,201979
200817,201953
200826,201950
200826,201943
201041,203499
201041,201979
201041,2306
201141,203186
201141,1628386
201141,203458
201143,201150
201143,1627783
201143,708
201144,201609
201144,1628412
201144,201952
201145,203084
201145,1627759
201145,201814
201146,201175
201146,101138
201146,203928
201147,201167
201147,202343
201147,101144
201148,201577
201148,201959
201149,2585
201149,1628389
201149,2760
201150,203530
201150,202720
201151,1627735
201151,1626150
201151,2563
201152,203094
201152,201589
201152,201160
201153,200758
201154,201970
201154,201974
201155,1627742
201156,203501
201156,201977
201156,101139
201157,201623
201158,202083
201158,203914
201160,201591
201160,202338
201161,203798
201161,1629130
201161,1628510
201162,201602
201162,202341
201163,203118
201163,202694
201163,2804
201164,203917
201165,101211
201165,1628971
201165,202810
201166,203504
201166,1628988
201167,1628415
201168,1629140
201168,203469
201171,201593
201171,1628421
201171,200783
201177,203937
