source,target
201167,2210
201167,1627782
201167,203098
201168,1628389
201168,203500
201171,202396
201171,2449
201175,203469
201175,201623
201175,203939
201177,1626159
201177,1503
201181,202345
201187,202345
201187,201181
201188,2561
201188,1628976
201188,203939
201189,202730
201189,200777
201196,101198
201196,1627819
201202,201934
201228,2742
201228,1626170
201229,101110
201274,101154
201274,1626178
201274,200794
201563,2547
201563,2449
201564,1626181
201564,203484
201565,201609
201565,201936
201566,202322
201566,203100
201567,101141
201567,2546
201567,201578
201568,2072
201568,101122
201569,203501
201569,1626780
201571,201573
201571,1626184
201571,1628984
201572,1628418
201572,1626158
201572,2405
201573,201588
201573,1627812
201574,203092
201574,202684
201574,202962
201575,1627835
201575,203503
201576,203093
201576,1626158
201577,202338
201577,1627834
201577,201805
201578,2547
201578,1627746
201579,1628386
201579,203089
201580,203089
201580,203991
201580,101115
201581,1628397
201581,1627767
201582,201959
201583,203142
201583,203141
201584,202734
201584,202340
201584,1629102
201585,1627751
201585,204028
201586,1628964
201586,1626167
201586,2223
201587,204020
201587,201976
201588,204020
201588,1627812
201589,201947
201589,201967
201589,203120
201590,1627774
201590,201163
201590,1627846
201591,201146
201593,1627790
201593,202683
201595,2760
201595,203128
201595,202716
201596,203935
201596,203894
201596,1716
201599,203458
201599,203497
201599,1628386
201600,202684
201600,202399
201601,202361
201601,201967
201601,202087
201602,202082
201602,202066
201602,101128
201603,201604
201603,1627820
201603,201970
201604,201970
201605,203928
201605,202716
201605,203156
201609,1628372
201609,1628368
201609,201936
201611,203493
201623,101131
201623,200749
201623,203469
201627,203459
201627,201961
201785,201974
201785,1628977
201785,2222
201805,201959
201805,203382
201814,202692
201814,202705
201814,203613
201858,101110
201858,203798
201880,202327
201880,101142
201880,203512
201933,203944
201933,203507
201933,2548
201934,203481
201934,202327
201935,202738
201935,1629029
201935,101150
201936,203100
201936,1628368
201937,203515
201937,1626145
201938,1863
201938,201573
201938,2757
201939,201935
201939,202738
201939,1626156
201941,203928
201941,202334
201941,1628397
201942,203952
201942,1627742
201942,201155
201943,1627832
201944,202362
201944,202323
201944,1628972
201945,203613
201946,202396
201947,202376
201947,1626185
201947,1628467
201948,203488
201948,1627846
201949,1628401
201949,1627780
201949,201589
201950,1628455
201950,1628420
201951,201952
201951,1628412
201952,1628368
201953,1626273
201953,202388
201954,201938
201954,201951
201954,101198
201956,201814
201956,201960
201956,1627759
201957,203488
201958,1628372
201958,203506
201958,1626181
201959,202389
201959,1737
201960,203109
201960,1627814
201960,203490
201961,203493
201961,203459
201962,1627832
201962,1626179
201963,1628966
201963,200081
201963,202325
201964,203524
201964,1627827
201964,203922
201966,203933
201966,203498
201966,203953
201967,203103
201967,202345
201970,1628021
201970,1627820
201971,202328
201971,101154
201971,2404
201972,200749
201973,101107
201973,1626185
201973,202357
201974,1628021
201974,1628977
201974,201970
201975,203484
201975,203463
201976,204060
201976,1716
201977,1627736
201977,1501
201978,202130
201978,1626224
201978,202341
201979,1627739
201979,204456
201979,1626145
201980,203200
201980,2748
201985,1627812
201985,1626184
201986,1626170
201986,1627936
201988,203477
201988,203992
201991,201962
201991,203145
201991,203114
202066,202697
202066,1626169
202066,1716
202082,1628414
202082,1627775
202083,201158
202083,203552
202087,202361
202130,202718
202130,202711
202178,1626153
202178,2556
202178,201144
202220,201979
202220,1627739
202220,204456
202227,203508
202227,203934
202227,203524
202322,1628368
202322,202339
202322,201952
202323,203489
202323,202362
202324,1626158
202324,203500
202324,1627751
202325,1629003
202326,203076
202326,2730
202326,203954
202328,1628385
202329,201973
202329,200782
202329,203921
202330,202688
202330,202692
202331,203506
202331,202695
202331,203145
202332,1626257
202332,203124
202332,101106
202333,2572
